电影名,score,类型,上映时间,时长,tagline,简介
在你的爱里,57.0,爱情/剧情,2025-11-28,165,Some souls are meant to collide. Some love stories are destined to burn brighter.,一名心理学系学生试图帮助一个情绪不稳定的年轻人改过自新，却意外发展出一段注定失败的恋情。
逃出绝命镇,76.0,悬疑/惊悚/恐怖,2017-03-16,103,"Just because you're invited, doesn't mean you're welcome.",克里斯与女友萝丝的恋情到了“见父母”的阶段，她邀请他去郊外与米西和迪安共度周末。起初，克里斯将这家人的过分殷勤理解为面对女儿跨种族恋爱时的紧张表现，但随周末渐深，一连串愈发令人不安的发现，将他引向一个他从未想象过的骇人真相。
最喜爱的游戏,44.0,剧情,2003-02-28,101,简介,小时候，利奥认为自己像魔术师一样拥有让事情发生的秘密力量。作为一个年轻人，他当然知道如何与女性相处。但正如他最好的朋友克兰茨会对他说的那样，“你为什么总是问一些你已经知道答案的问题？”利奥坚信自己日复一日的发明。图像、印象、故事充斥着他的脑海。他就是这样：对利奥来说，生活就是一场游戏。在这种孩子气的态度背后，隐藏着他自己人生追求的精髓。
夜行者,77.0,犯罪/剧情/惊悚,2014-12-03,117,The city shines brightest at night.,卢·布鲁姆(杰克·吉伦哈尔 饰演)是一名充满激情的年轻人，迫切地想得到一份工作。他发现，自己或许可以在报道洛杉矶地下犯罪活动方面有一番作为。他与一群敢于冒险的摄影师们合作，闯入了那个危险而又刺激的“夜行”的世界。所谓“夜行”(Nightcrawler)，指的就是自由记者和摄影师们四处拍摄暴力犯罪影像，并将其卖给电视台相关节目组的行为。一位来自电视台的经验丰富的女记者尼娜(蕾妮·罗素 饰演)也成为卢的助手。然而很快，他就模糊了正与邪的界限，从一名旁观者变成了他镜头中故事里犯下罪行的“明星”。
白雪公主,43.0,家庭/奇幻,2025-03-20,109,The classic tale comes to life.,一个失去昔日光彩的国度，一面可以鉴别美貌的魔镜，一片充满魔力的森林，神秘的童话世界即将再度开启……
速度与激情：特别行动,68.0,动作/冒险/喜剧,2019-08-01,136,所向无敌,一个是美国外交安全局的忠诚特工、身材魁梧的执法者卢克·霍布斯（道恩·强森饰），一个是前英国军事特工精英、无法无天的恶棍德卡特·肖（杰森·斯坦森 饰）。在 2015 年的《速度与激情7》中首次对峙之后，两人不论言语还是肢体都冲突不断，一直试图打倒对方。然而，通过高科技进行了基因增强的无政府主义者布里克斯顿（伊德瑞斯·艾尔巴 饰）控制了一种可能永远改变人类命运的不为人知的生化武器，并且还打败了一位大胆优秀又特立独行的军情六处特工（曾出演《王冠》的凡妮莎·科比 饰）——她恰好是肖的妹妹，为了扳倒这个通过高科技进行了基因增强的“黑超人”，霍布斯和肖这两个不共戴天的宿敌不得不联手抗敌 。
Black Widow,72.0,动作/冒险/科幻,2021-07-08,134,她的世界 她的秘密 她的遗产,随着新劲敌的出现，黑寡妇成为复仇者联盟成员前从未曝光的经历浮出水面，这位初代复联女英雄的黑暗过去即将揭开隐藏的面纱。一股不惜一切要击倒她的力量袭来，娜塔莎必须面对自己在成为复仇者之前作为间谍的过往和曾远离的破碎关系。
第一滴血,75.0,动作/冒险/惊悚/战争,1982-10-22,93,This time he's fighting for his life.,退伍军人兰博（西尔维斯特•史泰龙Sylvester Stallone 饰）从越南回国，他回到已显得陌生的原居小镇，当地警长（布莱恩•丹内利 Brian Dennehy 饰）看到这个退伍军人的第一眼起，就开始对兰博百般挑剔，甚至将他带回警局肆意侮辱，不堪忍受责打的兰博袭警之后逃跑。警长召集大批警察展开对兰博的追捕，兰博逃至荒山野林之中，不断用自己在越战中掌握的游击战术对警察展开反击，他抢劫了一辆武器运输车返回小镇烧毁了商店，法律和武器都不能阻止兰博了。兰博在越战时的长官上校（理查德•克里纳 Richard Crenna 饰）出现，劝说兰博放下枪械，愤懑已久的兰博吼出了自己的困惑与不甘。
长大成人2,62.0,喜剧,2013-07-12,101,Just because they're a little older doesn't mean they've grown up.,亚当·桑德勒和妻子（萨尔玛·海耶克 饰）为了让孩子有更好的生活，把家搬回了家乡的小镇，这里有很多他儿时的玩伴。小镇上雷人趣事不断：清晨睁眼醒来你能看到一只麋鹿在床头向你道早安；还会在一帮年轻小伙（泰勒·洛特纳、帕特里克·施瓦辛格等人饰）的挑衅下玩裸泳；这里的警察（沙奎尔·奥尼尔 饰）也很不一般，喜剧细胞与众非凡；凯文·詹姆斯遇到的年轻洗车队真是囧到家……
Senario XX,0.0,喜剧/冒险/动作,2005-05-19,93,简介,"One alien crashed in a small village in Malaysia, create havoc with the villagers. To make it worst, there is some bad alien who pursue him."
恶灵骑士,56.0,惊悚/动作/奇幻,2007-02-16,114,Long ago he made a deal to save someone he loved.,年轻的约翰尼·布雷泽为了挽救父亲的生命，以自己的灵魂为价和地狱魔王墨菲斯特交易，谁知一个星期后，父亲却在一次摩托车特技表演中丢掉了性命。成年后的布雷泽也成为了一名摩托车特技车手，并在一个夜晚与少年时的女友洛克塞偶然相遇，此时的洛克塞已经成为了一名雄心勃勃的记者。墨菲斯特承诺可以释放布雷泽的灵魂，条件是布雷泽在夜晚必须为他服务，充当“幽灵骑士”--一个拥有超自然力量的复仇者，任务是按照墨菲斯特的指令，惩处那些跟墨菲斯特作对的魔鬼，其中包括黑心魔--墨菲斯特无数儿子中最不听话、最有野心，也是最狡诈的一个。数百年来，他一直想要取代父亲。为了王位，黑心魔不断招兵买马，还想诱惑布雷泽加入他的阵营。布雷泽坚决地对抗着自己的宿命，用加诸于自己身上的诅咒和力量去保护无辜者，惩奸除恶，为受害的冤魂复仇。
天生一对,72.0,喜剧/家庭/爱情,1998-07-29,127,"Twice the Fun, Double the Trouble.",安妮（林赛·罗韩 饰）和荷莉（林赛·罗韩 饰）两个小女孩在夏令营中相识。她们相貌惊人的相似，却非常合不来。十分偶然的，她们知道了对方原来是自己的孪生姐妹。她们开始互相打听对方的生活，讨论自己的父母：他们在一个豪华的航海轮船上相遇，在旅途中就结了婚，然而最后却以感情破裂收场。因为这场离异，双胞胎姐妹一个被爸爸尼克（丹尼斯·奎德 饰）带到加州，生活在一个美丽的葡萄园；一个则被当婚纱设计师的妈妈丽莎（娜塔莎·理查德森 饰）带到伦敦。两人因此从未谋面，甚至不知道彼此的存在。得知了这个真相，两个调皮的小鬼开始谋划她们的计策：她们决定调换身份，到对方的家庭去生活。一切都进展顺利，直到父亲要再婚，姐妹俩对后母（伊莲·亨德里克斯 饰）的一场疯狂狙击大战开始了……本片翻拍自1961年版美国电影《爸爸爱妈妈》。年仅11岁的林赛·罗韩凭借在新版《天生一对》中一人分饰两角的表演，荣获1999年美国“艺术新秀奖”最佳年轻女演员奖。
The Sabarmati Report,57.0,剧情/惊悚/犯罪,2024-11-15,123,Witness the brutal truth of the most controversial events.,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
特技狂人,70.0,动作/喜剧/爱情,2024-04-25,127,摔得很重。,寇特·西弗是一名特技演员，就跟这个行业的每一个特技演员一样，他常常被炸飞、辗压、破窗而出以及从高处坠落地面，全都是为了娱乐观众。如今，他才刚因为意外受伤几乎被迫无法再从事特技表演，平凡的寇特必须找到一名失踪的电影明星、破解一个阴谋论，并且赢回他一生挚爱的芳心，同时还要继续当一名特技演员。分身乏术、焦头烂额的他有可能一帆风顺吗？
新威龙杀阵,69.0,动作/惊悚/剧情,2024-03-21,121,Take it outside.,一名前UFC拳手在佛罗里达礁岛群一家满是牛鬼蛇神的酒吧担任保镖工作，但他很快发现，一切并非都像这个热带天堂一样美好。
180度,57.0,惊悚/犯罪/剧情/电视电影,2026-04-17,94,简介,一场突如其来的公路暴力事件让儿子命悬一线，这名愤怒的父亲失去控制，走上情绪崩溃和复仇交织的黑暗道路。
消失的她,66.0,悬疑/犯罪/惊悚,2023-08-03,121,简介,东南亚某国，年轻男子何非（朱一龙 饰）疯狂寻找失踪的妻子李木子（黄子琪 饰），然而当地警局视若罔闻，令他出离愤怒。可就在某个清晨，何非突然发现身边躺着一名陌生女子（文咏珊 饰），更令他毛骨悚然的是，女子居然声称是他的妻子李木子。慌乱之余，何找来华人警察郑成（杜江 饰），试图揭穿假冒者的骗局，谁知种种迹象表明，对面的陌生人真实不虚。隐隐之中，何非认为妻子被犯罪团伙绑架，他只得求助干练的金牌律师陈麦（倪妮 饰）追索真相。在调查中过程中，细微线索逐渐浮出水面，而更加黑暗的真相也开始暴露在阳光之下…  本片改编自苏联电影《为单身汉设下的陷阱》。
镖人：风起大漠,70.0,动作/剧情/历史,2026-02-17,126,A grand martial arts feast is back!,大漠之上，镖人、官府、西域五大家族等多方势力盘根错节、暗潮涌动。“天字第二号逃犯”刀马接下特殊押镖任务，和同伴一起从西域护镖远赴长安。不料，他们的护送对象竟是“天字第一号逃犯”知世郎……天下熙熙皆为利来，各方势力闻风入局，抢镖厮杀接连上演……
Perras,73.0,惊悚/剧情/爱情,2011-03-04,100,Do your parents know?,"Something terrible is happening in class 3A at Calmecatl Junior High. No one can leave the classroom until the guilty party is found. This is the device that gives us a glimpse of the ethics, games, esthetics and eroticism of these girl-women. It is not easy to say what the subject is, there are so many: the discovery of sexuality, discrimination, chance, drugs, maternity, traditions, betrayals, power, love. A mural of a complex reality from the point of view of twenty-something women in the skin of 14 to 15 year old girls."
龙与地下城：侠盗荣耀,73.0,冒险/奇幻/喜剧,2023-03-30,134,No experience necessary.,艾德金（克里斯·派恩 Chris Pine 饰）是一名吟游诗人，在一次盗宝行动中，他的贪婪导致了妻子的死亡。之后，野蛮人霍尔盖（米歇尔·罗德里格兹 Michelle Rodriguez 饰）出现在了颓废的艾德金身边，和他共同抚养女儿琪拉（克洛伊·科尔曼 Chloe Coleman 饰）。琪拉长大之后，艾德金、霍尔盖带着琪拉和她的舅舅福奇（休·格兰特 Hugh Grant 饰）等人组成了一支盗宝团队，哪知道在一次行动之中失手了，最终，艾德金和霍尔盖锒铛入狱。一晃眼多年过去，艾德金和霍尔盖联手越狱，并且决定夺回他们当年未得手的宝物，为了达成目的，他们还吸纳了菜鸟术士西蒙（贾斯蒂斯·史密斯 Justice Smith 饰）和德鲁伊女孩多立克（索菲娅·莉莉丝 Sophia Lillis 饰）。就在艾德金一行人离宝物越来越近之际，当年带着琪拉逃跑的福奇，他的真面目也渐渐的展露了出来。
我是传奇,72.0,剧情/科幻/惊悚,2007-12-25,101,地球上最后一个人并不孤单。,2012年，人类被不知名病毒感染，纽约成为一座空城。Robert Neville是为军方服务的科学家，也是对病毒有免疫力的幸存者。白天，他带着狗Sam在街道上寻找食物，用广播寻找幸存者，在实验室里研究治愈病毒的方法；晚上，他只能躲在屋子里，因为那些感染病毒而没有死亡的人们，成为了“夜魔”只能夜晚出来活动，丧失理智，会攻击所有的人。某天，Sam也感染病毒死去，Robert Neville陷入了前所未有的孤独。当他准备和“夜魔”们同归于尽的时候，另外一个幸存者Anna救了他。Anna相信山上的隔离区还有幸存者，但是固执的Robert Neville却坚持守在纽约。又一个晚上，“夜魔”攻击Robert Neville的住所，此时他的研究已经获得成功，但是只有坚持到天亮，人类才能得以延存。
